Year,Country,Exports_USD_Billion,Imports_USD_Billion,GDP_USD_Trillion,Trade_Balance,Sanctions_Impact_Index,Currency_Stability_Index,Trade_Partners,Notes,Sanctions_Imposed_By,Sanction_Reasons
2019,India,2393.49,1415.33,6.03,978.16,9,63,22,,,
2019,China,1722.89,1070.01,5.96,652.88,63,62,10,"Trade war escalated, tariffs impacted exports",USA,"Escalated trade war, tech export bans"
2019,South Africa,790.87,1633.33,11.21,-842.46,58,59,20,Load shedding disrupted production,,
2020,Brazil,638.93,2028.35,12.81,-1389.42,81,75,15,,,
2020,Russia,2193.52,189.36,16.23,2004.16,4,88,15,,,
2020,India,2334.8,1862.29,1.85,472.51,71,54,7,,,
2020,China,1566.05,132.56,5.94,1433.49,92,84,16,"COVID-19 led to early recovery, export surge in medical goods",,
2020,South Africa,421.3,1685.57,7.09,-1264.27,79,60,23,,,
2021,Brazil,2257.71,834.63,17.5,1423.08,21,85,15,,,
2021,Russia,1644.33,1398.47,3.54,245.86,24,98,17,,,
2021,India,1313.13,1766.75,7.09,-453.62,55,66,22,,,
2021,China,2372.7,1956.16,9.62,416.54,40,56,8,,,
2021,South Africa,904.49,114.12,17.26,790.37,99,71,18,,,
2022,Brazil,2394.42,1361.17,15.64,1033.25,48,77,5,,,
2022,Russia,2379.0,680.06,8.79,1698.94,77,62,12,Ukraine invasion led to extreme sanctions,"USA, EU, UK, Japan, Canada, Australia",Invasion of Ukraine
2022,India,1001.6,2105.38,2.89,-1103.78,24,62,12,Oil price spike due to geopolitical tensions,,
2022,China,1729.19,1409.46,7.37,319.73,1,72,22,Supply chain issues and lockdown-related slowdowns,"USA, EU (partial)",Human rights violations (Xinjiang)
2022,South Africa,1125.84,1344.24,5.97,-218.4,55,72,9,,,
2023,Brazil,2043.18,1875.15,5.57,168.03,11,97,17,,,
2023,Russia,764.64,1909.69,5.68,-1145.05,74,57,12,"Severe sanctions, trade partners reduced","USA, EU, allies",Continuation of Ukraine war and human rights concerns
2023,India,1593.4,2036.29,16.66,-442.89,98,52,14,,,
2023,China,1366.82,286.3,5.46,1080.52,39,93,21,,,
2023,South Africa,190.2,1510.63,1.74,-1320.43,69,61,25,,,
2024,Brazil,1556.2,571.25,5.54,984.95,31,93,14,Currency volatility impacted imports,,
2024,Russia,173.31,2167.98,9.83,-1994.67,91,94,22,,,
2024,India,2164.28,1682.28,13.59,482.0,11,97,16,,,
2024,China,942.83,1951.08,16.62,-1008.25,21,85,14,,,
2024,South Africa,1744.48,505.5,15.21,1238.98,69,90,23,Energy crisis reduced industrial output,,
2025,Brazil,1785.14,1128.82,17.5,656.32,10,79,18,,,
2025,Russia,2076.28,2078.63,4.37,-2.35,74,90,16,"Ongoing isolation, limited recovery","USA, EU, G7",Persistent aggression and cyber-attacks
2025,India,1508.96,1587.7,10.92,-78.74,69,50,13,Growing domestic demand led to higher imports,,
2025,China,1658.94,1197.54,3.27,461.4,74,88,10,Currency tightening and manufacturing shift impacted exports,,
2025,South Africa,1607.59,244.05,5.03,1363.54,97,70,19,,,
