Year,Country,Exports_USD_Billion,Imports_USD_Billion,GDP_USD_Trillion,Trade_Balance,Sanctions_Impact_Index,Currency_Stability_Index,Trade_Partners,Notes,Sanctions_Imposed_By,Sanction_Reasons,Currency_Value_USD
2019,China,1722.89,1070.01,5.96,652.88,63,62,10,"Trade war escalated, tariffs impacted exports,Trade war, tech transfer, trade imbalance","USA, UK, EU, Canada","Escalated trade war, tech export bans",0.171
2019,South Africa,790.87,1633.33,11.21,-842.46,58,59,20,Load shedding disrupted production Eskom power cuts hit productivity; Moody’s credit downgrade fears.,"Western media, investment firms (not official sanctions)","Zuma-era corruption, Gupta influence, and ""State Capture""",0.068
2020,Brazil,638.93,2028.35,12.81,-1389.42,81,75,15,EU-Mercosur Trade Agreement Blocked,"European Union (France, Germany, Austria led) ",Concerns over Amazon deforestation and Bolsonaro’s environmental policies,0.38
2020,Russia,2193.52,189.36,16.23,2004.16,4,88,15,Targeted official-level sanctions,"USA, EU",Navalny poisoning and opposition suppression,0.01
2020,India,2334.8,1862.29,1.85,472.51,71,54,7,App and tech import bans,India (vs China),"Border conflict, tech bans",0.013
2020,USA,1800.0,2150.0,20.5,-350.0,10,90,80,Stable global trade operations. Managed trade balance and economic growth in 2020.,,,1.0
2020,China,1566.05,132.56,5.94,1433.49,92,84,16,"COVID-19 led to early recovery, export surge in medical goods, disrupted supply chains; China ramped up exports of medical goods; internal lockdowns reduced productivity, Trade war, tech transfer, trade imbalance",USA,"Trade war, tech transfer, trade imbalance",0.172
2020,South Africa,421.3,1685.57,7.09,-1264.27,79,60,23,COVID-19 pandemic led to lockdowns; trade halted; economy contracted sharply.,"Western media, investment firms (not official sanctions)","Zuma-era corruption, Gupta influence, and ""State Capture""",0.064
2021,Brazil,2257.71,834.63,17.5,1423.08,21,85,15,International Environmental Pressure,"Norway, Germany, EU Parliament",Destruction of Amazon rainforest and rollback of environmental protections,0.36
2021,Russia,1644.33,1398.47,3.54,245.86,24,98,17,Stable global trade operations.,,,0.009
2021,India,1313.13,1766.75,7.09,-453.62,55,66,22,Post-COVID growth spurt; benefited from global firms diversifying away from China.,India (vs China),"Border conflict, tech bans",0.012
2021,USA,1840.0,2185.0,21.05,-345.0,13,89,81,Stable global trade operations. Managed trade balance and economic growth in 2021.,,,1.0
2021,China,2372.7,1956.16,9.62,416.54,40,56,8,Stable global trade operations.,,,0.173
2021,South Africa,904.49,114.12,17.26,790.37,99,71,18,Economic rebound post-COVID; mining exports strong; unrest in July affected sentiment.,USA (minor export controls),Concerns over cyber trade and arms links,0.061
2022,Brazil,2394.42,1361.17,15.64,1033.25,48,77,5,US & UN Climate-Linked Criticism,"USA, UN bodies, European investors",Brazil’s unclear commitments to climate targets and indigenous rights,0.34
2022,Russia,2379.0,680.06,8.79,1698.94,77,62,12,"Ukraine invasion triggered broad sanctions; pivot to China, India and BRICS trade intensified.","USA, EU, UK, Japan, Canada, Australia",Invasion of Ukraine,0.008
2022,India,1001.6,2105.38,2.89,-1103.78,24,62,12,Oil price spike due to geopolitical tensions,Western powers (soft),Neutrality in Ukraine war,0.012
2022,USA,1800.0,2450.0,23.6,-650.0,20,89,85,Sanctioned Russia following Ukraine invasion; increased defense spending.,,,1.0
2022,China,1729.19,1409.46,7.37,319.73,1,72,22,Supply chain issues and lockdown-related slowdowns,"USA, EU (partial)",Human rights violations (Xinjiang),0.174
2022,South Africa,1125.84,1344.24,5.97,-218.4,55,72,9,Ukraine war drove global commodity prices; SA benefited from platinum/gold exports.,EU (indirect investment caution),Concerns about Russia ties and non-alignment on Ukraine,0.059
2023,Brazil,2043.18,1875.15,5.57,168.03,11,97,17,Hosted BRICS+ trade initiatives; increased Chinese investment in infrastructure.,USA (scrutiny),Concerns over deforestation and environmental policy,0.33
2023,Russia,764.64,1909.69,5.68,-1145.05,74,57,12,"Severe sanctions, trade partners reduced, Economy adapted to sanctions via parallel imports; oil trade with China and India surged.","USA, EU, allies,G7","Sanctions extended, price caps on oil exports",0.008
2023,India,1593.4,2036.29,16.66,-442.89,98,52,14,Continued economic reforms; tension with China over border skirmishes; strong BRICS ties.,China (minor trade limits),Border security concerns,0.011
2023,USA,1920.0,2255.0,22.15,-335.0,19,87,83,Stable global trade operations. Managed trade balance and economic growth in 2023.,,,1.0
2023,China,1366.82,286.3,5.46,1080.52,39,93,21,Continued tech decoupling from U.S.; growing trade with BRICS and Global South nations,"USA, EU (tech)","National security concerns, semiconductor ban",0.175
2023,South Africa,190.2,1510.63,1.74,-1320.43,69,61,25,"Load shedding intensified; greylisting by FATF affected investor confidence, Greylisting by FATF affected international confidence. BRICS expansion talks underway; political tensions high.",FATF greylist,Money laundering controls insufficient,0.057
2024,Brazil,1556.2,571.25,5.54,984.95,31,93,14,Currency volatility impacted imports,,,0.32
2024,Russia,173.31,2167.98,9.83,-1994.67,91,94,22,"Military tech supply reduced, sanctions extended","EU, China (indirect)",Continuation of war and global instability,0.008
2024,India,2164.28,1682.28,13.59,482.0,11,97,16,"Diplomatic pressure, monitoring	",Western powers (soft),Neutrality in Ukraine war,0.011
2024,USA,1960.0,2290.0,22.7,-330.0,22,86,84,Stable global trade operations. Managed trade balance and economic growth in 2024.,,,1.0
2024,China,942.83,1951.08,16.62,-1008.25,21,85,14,"Tech embargo, strategic controls","USA, Japan, Netherlands, EU","Chip/AI export bans, Taiwan tensions",0.175
2024,South Africa,1744.48,505.5,15.21,1238.98,69,90,23,"Energy crisis reduced industrial output, BRICS summit hosted in Cape Town boosted global exposure; elections created policy uncertainty.","Internal tension, EU caution,EU observers, financial analysts","Political uncertainty, alignment with Russia-China bloc,Growing alignment with Russia and China (neutrality in Ukraine war),BRICS currency discussions (seen as challenge to USD-dominated system),ANC losing majority and entering coalition, causing short-term political instability",0.056
2025,Brazil,1785.14,1128.82,17.5,656.32,10,79,18,Brazil Returns to Favor Post-Election,International investors (positive shift),New leadership committing to climate goals and international cooperation,0.31
2025,Russia,2076.28,2078.63,4.37,-2.35,74,90,16,"Ongoing isolation, limited recovery","USA, EU, G7",Persistent aggression and cyber-attacks,0.007
2025,India,1508.96,1587.7,10.92,-78.74,69,50,13,Growing domestic demand led to higher imports,USA Tech + EU privacy,Data law changes affecting international firms,0.01
2025,USA,1950.0,2550.0,25.2,-600.0,25,90,88,Continued tech decoupling from China. Monitored South Africa over BRICS alignment.,China (expanded retaliation),Technology export restrictions,1.0
2025,China,1658.94,1197.54,3.27,461.4,74,88,10,"Currency tightening and manufacturing shift impacted exports, Currency monitoring, finance pressure","G7, USA","BRICS de-dollarization, financial independence push",0.175
2025,South Africa,1607.59,244.05,5.03,1363.54,97,70,19,Economic slowdown due to reduced commodity prices; BRICS currency adoption debates increased volatility.,EU (monitoring),"Concerns over non-alignment and fiscal transparency, Growing alignment with Russia and China (neutrality in Ukraine war),BRICS currency discussions (seen as challenge to USD-dominated system),ANC losing majority and entering coalition, causing short-term political instability",0.055
